ID,BCS_stage,Year,Parity,Age_at_first_mating,Litter_size,BCS
41133,BCS-Wp,2007,2,2,1,
41135,BCS-Wp,2006,2,1,2,
41143,BCS-W,2006,2,1,3,2.6
41143,BCS-Wp,2006,2,1,3,
41149,BCS-W,2006,2,1,1,3.0
41149,BCS-Wp,2006,2,1,1,
41156,BCS-Wp,2006,2,1,3,
41157,BCS-W,2006,2,1,3,2.7
41157,BCS-Wp,2006,2,1,3,
41161,BCS-W,2006,2,1,3,2.6
41161,BCS-Wp,2006,2,1,3,2.8
41173,BCS-Wp,2006,2,1,4,
41175,BCS-Sb,2007,3,1,4,
41175,BCS-W,2007,3,1,4,2.7
41175,BCS-Wp,2007,3,1,4,
41176,BCS-W,2007,3,1,2,2.6
41176,BCS-Wp,2007,3,1,2,2.5
41181,BCS-W,2006,2,1,3,2.6
41181,BCS-Wp,2006,2,1,3,
41183,BCS-W,2006,2,1,1,2.6
41183,BCS-Wp,2006,2,1,1,
41189,BCS-Wp,2006,1,2,3,
41192,BCS-Wp,2006,1,2,4,
41193,BCS-W,2006,2,1,4,2.8
41193,BCS-Wp,2006,2,1,4,
41196,BCS-W,2006,2,1,2,2.7
41196,BCS-Wp,2006,2,1,2,
41197,BCS-Sb,2008,3,2,4,
41197,BCS-W,2008,3,2,4,2.5
41197,BCS-Wp,2008,3,2,4,2.5
41199,BCS-W,2006,2,1,1,2.8
41199,BCS-Wp,2006,2,1,1,
41205,BCS-Wp,2006,1,2,3,
41212,BCS-W,2006,2,1,2,2.7
41212,BCS-Wp,2006,2,1,2,
41213,BCS-W,2006,2,1,4,2.5
41213,BCS-Wp,2006,2,1,4,
41218,BCS-Wp,2006,2,1,4,
41222,BCS-Wp,2006,2,1,1,
41226,BCS-Wp,2006,2,1,3,
41230,BCS-W,2006,2,1,4,2.5
41230,BCS-Wp,2006,2,1,4,
41234,BCS-Wp,2006,1,2,3,
41247,BCS-W,2006,2,1,1,2.8
41247,BCS-Wp,2006,2,1,1,
41255,BCS-W,2006,2,1,4,2.7
41255,BCS-Wp,2006,2,1,4,
41259,BCS-W,2006,2,1,2,2.6
41259,BCS-Wp,2006,2,1,2,
41264,BCS-W,2006,2,1,1,2.6
41264,BCS-Wp,2006,2,1,1,
41268,BCS-W,2006,2,1,1,2.7
41268,BCS-Wp,2006,2,1,1,
41272,BCS-W,2006,2,1,2,2.6
41272,BCS-Wp,2006,2,1,2,
41273,BCS-Wp,2006,1,2,2,
41274,BCS-Wp,2006,1,2,4,
41275,BCS-W,2006,2,1,4,2.4
41275,BCS-Wp,2006,2,1,4,
41277,BCS-Wp,2006,1,2,3,
41278,BCS-W,2006,2,1,4,2.7
41278,BCS-Wp,2006,2,1,4,
41279,BCS-Wp,2006,2,1,4,
41282,BCS-Wp,2006,2,1,2,
41292,BCS-W,2006,2,1,3,2.5
41292,BCS-Wp,2006,2,1,3,
41305,BCS-W,2007,3,1,1,3.2
41305,BCS-Wp,2007,3,1,1,
41311,BCS-Wp,2006,2,1,4,
41321,BCS-Wp,2006,2,1,4,
41338,BCS-Wp,2006,1,2,4,
41344,BCS-W,2007,2,2,1,2.3
41344,BCS-Wp,2007,2,2,1,
41359,BCS-Wp,2005,1,1,2,2.5
41370,BCS-W,2006,2,1,3,2.8
41370,BCS-Wp,2006,2,1,3,
41373,BCS-W,2006,2,1,4,2.4
41373,BCS-Wp,2006,2,1,4,
41379,BCS-W,2006,2,1,3,2.8
41379,BCS-Wp,2006,2,1,3,
41386,BCS-W,2006,2,1,4,2.5
41386,BCS-Wp,2006,2,1,4,
41387,BCS-Sb,2007,3,1,2,
41387,BCS-W,2007,3,1,2,2.4
41387,BCS-Wp,2007,3,1,2,2.6
41389,BCS-Wp,2006,1,2,3,
41390,BCS-Wp,2006,2,1,3,
41392,BCS-W,2006,2,1,4,2.3
41392,BCS-Wp,2006,2,1,4,
41393,BCS-W,2006,2,1,4,2.5
41393,BCS-Wp,2006,2,1,4,
41399,BCS-Wp,2006,2,1,4,
41407,BCS-Wp,2006,1,2,3,
41413,BCS-W,2006,2,1,4,2.5
41413,BCS-Wp,2006,2,1,4,
41414,BCS-Sb,2008,3,2,3,
41414,BCS-W,2008,3,2,3,2.5
41414,BCS-Wp,2008,3,2,3,
41418,BCS-Wp,2006,1,2,3,
41432,BCS-Wp,2006,2,1,3,
41434,BCS-W,2006,2,1,3,2.6
41434,BCS-Wp,2006,2,1,3,
