"Ewe.ID","line","Parity","dbeg","dend","bcsinit"
31100,137,1,37,284,2.67484885052317
31100,137,2,445,582,2.7935698187108
31100,137,3,NA,NA,0
31105,138,1,49,204,2.87579649860974
31105,138,2,348,513,2.73129935457115
31105,138,3,NA,NA,0
31108,139,1,30,210,3.16690750756183
31108,139,2,NA,NA,0
31108,139,3,NA,NA,0
31162,140,1,15,223,2.92901049719527
31162,140,2,407,548,2.76950894777901
31162,140,3,NA,NA,0
31183,141,1,42,202,2.8122617363247
31183,141,2,363,522,2.72864176064471
31183,141,3,NA,NA,0
31185,142,1,17,267,2.72307310078413
31185,142,2,404,528,2.64559713412422
31185,142,3,NA,NA,0
31205,143,1,84,243,2.73321726864699
31205,143,2,401,547,2.58377165318488
31205,143,3,NA,NA,0
31236,144,1,28,230,3.08444458375158
31236,144,2,407,670,2.82133982789375
31236,144,3,NA,NA,0
31245,145,1,NA,NA,0
31245,145,2,466,670,2.93910205060212
31245,145,3,NA,NA,0
31246,146,1,67,320,2.87090077368005
31246,146,2,481,576,2.83827851420496
31246,146,3,NA,NA,0
31262,147,1,0,175,3.29688143396588
31262,147,2,NA,NA,0
31262,147,3,NA,NA,0
31278,148,1,43,209,2.90308074177142
31278,148,2,NA,NA,0
31278,148,3,NA,NA,0
31279,149,1,0,311,3.1980867766375
31279,149,2,512,600,2.92659118026428
31279,149,3,NA,NA,0
31280,150,1,60,218,3.04643277882497
31280,150,2,370,506,2.8396560606697
31280,150,3,NA,NA,0
31281,151,1,72,206,2.81496778508482
31281,151,2,369,515,2.82268151282676
31281,151,3,720,894,2.98843553414138
31284,152,1,19,236,2.84649074502679
31284,152,2,403,522,3.00986393058916
31284,152,3,NA,NA,0
31287,153,1,0,209,3.29576774097292
31287,153,2,438,581,2.89827043127504
31287,153,3,NA,NA,0
31300,154,1,NA,NA,0
31300,154,2,378,623,2.97307402805791
31300,154,3,776,883,3.02484515002375
31301,155,1,76,261,2.97967183951943
31301,155,2,411,570,2.71503912149503
31301,155,3,NA,NA,0
31312,156,1,35,239,2.59236998843046
31312,156,2,399,533,2.63149813441017
31312,156,3,868,1030,2.86160076898263
31321,157,1,42,207,2.91600716161433
31321,157,2,360,610,2.63854640351495
31321,157,3,807,943,2.86843854262133
31324,158,1,NA,NA,0
31324,158,2,361,531,3.30480074827872
31324,158,3,772,947,3.1193448643783
31325,159,1,4,255,2.90332580298154
31325,159,2,402,516,3.31468077656461
31325,159,3,NA,NA,0
31326,160,1,84,303,2.98038131782264
31326,160,2,406,519,2.58744677127734
31326,160,3,756,1030,3.08083544575458
31330,161,1,20,176,2.84365501397721
31330,161,2,NA,NA,0
31330,161,3,NA,NA,0
31332,162,1,27,147,2.98375887198165
31332,162,2,NA,NA,0
31332,162,3,NA,NA,0
31334,163,1,0,261,2.90615585203292
31334,163,2,422,578,2.71544647313356
31334,163,3,NA,NA,0
31335,164,1,30,174,3.49272117070862
31335,164,2,409,670,3.52778843985777
31335,164,3,NA,NA,0
31339,165,1,33,205,2.99379392590698
31339,165,2,375,519,2.84258054770454
31339,165,3,744,900,3.12273587237715
31340,166,1,25,256,2.9000191729858
31340,166,2,463,581,2.8246092230533
31340,166,3,NA,NA,0
31342,167,1,NA,NA,0
31342,167,2,388,608,3.07124254369848
31342,167,3,771,1030,3.01567976442804
31343,168,1,0,199,2.99435198449065
31343,168,2,360,585,2.75379973170794
31343,168,3,771,893,2.78200690377472
