"Ewe";"BW.time";"BCS.time";"Year";"Parity";"Age_mating";"LS";"state.num";"day";"BW";"BCS";"BCSm";"BCS1"
51189;"BW-Sb";"BCS-Sb";2008;2;2;"2";"230";590;NA;2.38996720967162;4;NA
51195;"BW-Sa";"BCS-Sa";2007;2;1;"2";"190";550;63400;2.5;3.5;2.5
51195;"BW-Sb";"BCS-Sb";2007;2;1;"2";"230";590;63600;2.42226164424574;3.5;NA
51197;"BW-Sa";"BCS-Sa";2007;2;1;"3";"190";550;57200;2.3;3.5;2.3
51197;"BW-Sb";"BCS-Sb";2007;2;1;"3";"230";590;55600;2.40523953556804;3.5;NA
51199;"BW-W";"BCS-W";2007;2;1;"3";"250";610;52600;2.2;3.5;2.2
51202;"BW-Sa";"BCS-Sa";2007;2;1;"1";"190";550;62400;2.7;3.5;2.7
51202;"BW-Sb";"BCS-Sb";2007;2;1;"1";"230";590;59600;2.65698431582864;3.5;NA
51209;"BW-Sa";"BCS-Sa";2007;2;1;"2";"190";550;64500;2.8;3.5;2.8
51209;"BW-Sb";"BCS-Sb";2007;2;1;"2";"230";590;66700;2.82650588936128;3.5;NA
51215;"BW-Sa";"BCS-Sa";2007;2;1;"4";"190";550;64400;2.9;3.5;2.9
51215;"BW-Sb";"BCS-Sb";2007;2;1;"4";"230";590;65500;2.66128219004172;3.5;NA
51216;"BW-Pb";"BCS-Pb";2008;3;1;"4";"80";800;68700;2.7;3.5;2.7
51216;"BW-L";"BCS-L";2008;3;1;"4";"160";880;62800;2.3;3.5;2.3
51216;"BW-Sa";"BCS-Sa";2008;3;1;"4";"190";910;62700;2.3;3.5;2.3
51217;"BW-Sa";"BCS-Sa";2007;2;1;"1";"190";550;68800;2.8;3.5;2.8
51217;"BW-Sb";"BCS-Sb";2007;2;1;"1";"230";590;69400;2.65865522620536;3.5;NA
51221;"BW-Sa";"BCS-Sa";2007;2;1;"4";"190";550;62000;2.4;4;2.4
51221;"BW-Sb";"BCS-Sb";2007;2;1;"4";"230";590;60100;2.41961731257633;4;NA
51223;"BW-Sa";"BCS-Sa";2007;2;1;"4";"190";550;63800;2.2;3.5;2.2
51223;"BW-Sb";"BCS-Sb";2007;2;1;"4";"230";590;60400;2.26791480656857;3.5;NA
51224;"BW-Sa";"BCS-Sa";2007;2;1;"3";"190";550;64900;2.3;3.5;2.3
51224;"BW-Sb";"BCS-Sb";2007;2;1;"3";"230";590;62400;2.32399420962837;3.5;NA
51225;"BW-W";"BCS-W";2006;1;1;"1";"250";250;65500;3;3.5;3
51240;"BW-Sa";"BCS-Sa";2007;2;1;"1";"190";550;NA;2.73601020997182;4;NA
51240;"BW-Sb";"BCS-Sb";2007;2;1;"1";"230";590;NA;2.69326401495386;4;NA
51244;"BW-Sa";"BCS-Sa";2007;2;1;"3";"190";550;60900;2.4;3.5;2.4
51244;"BW-Sb";"BCS-Sb";2007;2;1;"3";"230";590;59300;2.24501325279969;3.5;NA
51248;"BW-W";"BCS-W";2006;1;1;"2";"250";250;56800;2.5;3.5;2.5
51249;"BW-W";"BCS-W";2006;1;1;"2";"250";250;55500;2.3;3.5;2.3
