"ID","ID2","ID3","kb1","kb2","kb3","kp1","kp2","kp3"
41472,41472,41472,0.00560076163294502,0.0039104551225375,0.00198005632916316,0.00514652047157359,0.00756170971940186,0.00431160267205911
41473,41473,41473,0.0025571528367392,0.00255713420510722,NA,0.0029987389084015,0.00299843591220575,NA
41481,41481,41481,0.00452661965571526,0.00342592878042983,0.0053101007947465,0.00511390742176646,0.00650442250175863,0.00173837160705706
41485,41485,41485,0.00477631689689885,0.00235953206669101,NA,0.00593162079686675,0.00491266954806594,NA
41488,41488,41488,0.00303923592931386,0.00245040356879703,0.00159159910834912,0.00580078788209587,0.00420705095621091,0.00497245863070015
41491,41491,41491,NA,0.00403547922807773,0.00220412950397859,NA,0.0049713757127226,0.00393899106631381
41496,41496,41496,0.00271879126023657,0.00265180527566528,NA,0.00353850345594944,0.00313306760706409,NA
41500,41500,41500,0.00161003950382872,0.00407181069105636,NA,0.00771880653902683,0.00737569037525802,NA
41501,41501,41501,0.00364549804581114,0.00334906770205353,0.00318887932610511,0.00582551439253164,0.00612158042137734,0.00454972454304031
41502,41502,41502,NA,0.00538367987162925,0,NA,0.00358550908391614,0.0047657237506176
41506,41506,41506,NA,0.00423166433256272,0.00353012977331911,NA,0.00437406374557098,0.00361177407592783
41512,41512,41512,NA,0.0045027261192016,NA,NA,0.00299247677519278,NA
41513,41513,41513,0.00302734515475304,0.0043994866425725,0.00180077048220779,0.00968875141563025,0.00880685541392831,0.00949059974017609
41514,41514,41514,0.002,NA,NA,0.003,NA,NA
41516,41516,41516,0.00229066721822542,0.00354094526257447,NA,0.00856917100686058,0.00721570858815846,NA
41525,41525,41525,0.00314697267814439,0.00287934971643531,NA,0.00469888625395208,0.00406091099154001,NA
41526,41526,41526,0.00332393726952993,NA,NA,0.00298460574904733,NA,NA
41529,41529,41529,NA,0.00581705276639741,0.00183401013119725,NA,0.00551767396556299,0.00428217494101374
41532,41532,41532,NA,0.00244106055747935,NA,NA,0.00613459139633556,NA
41539,41539,41539,0,NA,NA,0.00106603506062574,NA,NA
41540,41540,41540,0.00201201372317125,NA,NA,0.0030694776224181,NA,NA
41543,41543,41543,NA,0.0076871266484451,0.00372031805094807,NA,0.00486146819634586,0.00320221953175874
41545,41545,41545,0.00352537926781989,0.00350217714769247,0.00272699017772965,0.00630620337582568,0.00655715965624777,0.00539866155309172
41550,41550,41550,0.00389582207706186,0.00385695947191244,0.00256599591832783,0.00489127189579371,0.00755635023025804,0.00554084129480751
41552,41552,41552,0.0051001253476566,NA,NA,0.00301571820766295,NA,NA
41560,41560,41560,0.00431463294606739,0.0044823707451426,0.0027650069704181,0.00612583187038278,0.00318125427196944,0.00406193041035609
41562,41562,41562,0.00492392605843949,0.00581296902688243,NA,0.00418093197290294,0.0024652847214703,NA
41568,41568,41568,0.002,NA,NA,0.003,NA,NA
41572,41572,41572,0.00261473599868403,0.00239394694381078,NA,0.00303720021124723,0.00324334781433394,NA
41573,41573,41573,0.00282145234659167,0.00292046374522012,NA,0.00367088301472189,0.00296019965165634,NA
41575,41575,41575,0.0031785437494001,0.00363008693730405,NA,0.00501963467123213,0.00286585977858898,NA
41577,41577,41577,0.00309106269553698,0.00415262082646082,NA,0.0045627805246906,0.00268467480489729,NA
41582,41582,41582,NA,0.00363435575324114,0.0030258231911859,NA,0.00532394947447149,0.00403652736046076
41605,41605,41605,0.00430665141436283,0.0040578029839418,0.00272584780834143,0.00636991407885516,0.00545265165598159,0.00502068050213204
41606,41606,41606,0.0037997259545348,0.00425598192268332,0.00274412826059441,0.00608949899622208,0.00420629440816055,0.00432438207260817
41610,41610,41610,0.00479189686890058,0.00536104557952717,0.00202601204229806,0.00698940232534161,0.00748303498243523,0.00344874731322881
41622,41622,41622,0.00490724145154572,0.00331374125593293,0.00215431731855611,0.00526274981624259,0.00532916583238997,0.00493016344916139
41629,41629,41629,0.00366484877129981,0.00347081713587325,0.00370418496581438,0.00972306966412192,0.00980080002609168,0.00977580143298858
41630,41630,41630,0.00426043520401451,0.00390582352861152,0.00428660541614721,0.00563556495531544,0.00377054843588791,0.00310229416921052
51105,51105,51105,0.00241761156546096,0.00214193979885048,NA,0.00636206676342541,0.00624090167706884,NA
51109,51109,51109,0.00280706787866684,0.00310221109576355,NA,0.00458502892248437,0.00313612922067503,NA
51115,51115,51115,NA,0.00200883921799485,NA,NA,0.00322263567973234,NA
51116,51116,51116,0.00500080953952971,0.00278646532207481,NA,0.00375346835958875,0.00461788079513903,NA
51118,51118,51118,0.00347590649860337,NA,NA,0.00383416166001039,NA,NA
51119,51119,51119,0.00412569337164258,0.00306395353128416,NA,0.00375465537343392,0.00366409911451924,NA
51122,51122,51122,NA,0.00413068513177876,NA,NA,0.00298337851526609,NA
