"ID","i","parity","kb","kp","tb","te","BCSm","Pmax","opt"
151043,1421,2,NA,NA,NA,NA,3.5,2,0.37448973525517
151043,1421,3,NA,NA,NA,NA,3.5,2,0.37448973525517
151048,1422,1,0.00211688824993862,0.00379572830949867,31,262,3.5,2,0.501697717737898
151048,1422,2,NA,NA,NA,NA,3.5,2,0.501697717737898
151048,1422,3,NA,NA,NA,NA,3.5,2,0.501697717737898
151055,1423,1,0.0019994346467013,0.0032818286194002,28,288,3.5,2,0.64790590625874
151055,1423,2,NA,NA,NA,NA,3.5,2,0.64790590625874
151055,1423,3,NA,NA,NA,NA,3.5,2,0.64790590625874
151063,1424,1,0.00362482804782512,0.00317726863389243,27,268,3.5,2,0.527189444933779
151063,1424,2,NA,NA,NA,NA,3.5,2,0.527189444933779
151063,1424,3,NA,NA,NA,NA,3.5,2,0.527189444933779
151072,1425,1,0.00122676937211913,0.00471790336366401,66,266,3.5,2,0.950371341726009
151072,1425,2,NA,NA,NA,NA,3.5,2,0.950371341726009
151072,1425,3,NA,NA,NA,NA,3.5,2,0.950371341726009
151076,1426,1,0.00197590953997562,0.00495318290322756,65,260,3.5,2,0.510080512231036
151076,1426,2,NA,NA,NA,NA,3.5,2,0.510080512231036
151076,1426,3,NA,NA,NA,NA,3.5,2,0.510080512231036
151098,1427,1,0.00267211318569231,0.00431141150974944,31,264,3.5,2,0.517635221224552
151098,1427,2,NA,NA,NA,NA,3.5,2,0.517635221224552
151098,1427,3,NA,NA,NA,NA,3.5,2,0.517635221224552
151100,1428,1,0.00405612122080937,0.00416124959934616,32,261,4,2,0.677803009598479
151100,1428,2,NA,NA,NA,NA,4,2,0.677803009598479
151100,1428,3,NA,NA,NA,NA,4,2,0.677803009598479
151101,1429,1,0.00464167234641211,0.00791427774192346,28,263,3.5,2,0.790097764231794
151101,1429,2,NA,NA,NA,NA,3.5,2,0.790097764231794
151101,1429,3,NA,NA,NA,NA,3.5,2,0.790097764231794
