"ID","kb1","kb2","kb3","kp1","kp2","kp3","tb1","tb2","tb3","te1","te2","te3","res","Group","BCSm"
81256,0.00200472238085016,NA,NA,0.00320224397454187,NA,NA,28,NA,NA,330,NA,NA,0.236526087991676,"G1",3.5
81257,NA,0.00209065939094589,NA,NA,0.00373176883112517,NA,NA,428,NA,NA,613,NA,0.21040681757319,"G2",3.5
81260,0.00298497741890739,0.00242194724130868,NA,0.00312130505505519,0.00367828573878767,NA,0,428,NA,267,670,NA,0.520636160798011,"G12",3.5
81263,0.00199908650593393,0.00199908650593393,NA,0.00345537679193404,0.00345537679193404,NA,0,442,NA,226,602,NA,0.362518531960429,"G12",3.5
81267,0.00200000000282437,0.00199999999999434,NA,0.00300000000282154,0.00300000000282154,NA,15,407,NA,212,589,NA,0.32746260932374,"G12",3.5
81270,0.00204766410530394,0.00274934885742513,0.00366366718288947,0.00431032247474419,0.00563774286715173,0.00390817436679316,0,453,857,189,531,964,0.769734611049535,"G123",3.5
81273,NA,0.00183226095538534,NA,NA,0.0056329884246344,NA,NA,360,NA,NA,515,NA,0.169175088468576,"G2",3.5
81278,0.00291123442305919,0.00281624634751356,NA,0.00301319539222063,0.00306041842929807,NA,25,389,NA,259,633,NA,0.596442387062551,"G12",3.5
81281,0.00322514703873849,NA,NA,0.00309103980779276,NA,NA,0,NA,NA,310,NA,NA,0.343463898770505,"G1",3.5
81282,NA,0.00347501468061033,0.0035890319794874,NA,0.0058744289737456,0.00394234480036593,NA,393,722,NA,591,981,0.545565968062258,"G23",3.5
81285,NA,0.00466517124937933,0.00239831413785043,NA,0.00667197036251004,0.00433223662305145,NA,432,728,NA,588,910,0.525257749641188,"G23",3.5
81288,0.00217986085238283,0.00202148519801812,NA,0.00374918281682076,0.00375101046336885,NA,0,409,NA,195,557,NA,0.31722042807321,"G12",3.5
81289,0.00213875506538148,0.00211093354554874,NA,0.00341763665094187,0.00326563912874997,NA,0,447,NA,337,627,NA,0.183116370480884,"G12",3.5
81292,0.00460007581913045,NA,0.0033578176743538,0.00316585132590439,NA,0.00446844813699886,98,NA,799,310,NA,954,0.531220532296142,"G13",3.5
81300,0.00217883739131742,NA,NA,0.00300130758413071,NA,NA,25,NA,NA,330,NA,NA,0.12731609843831,"G1",3.5
81303,0.00164104952820206,NA,NA,0.00279329342583734,NA,NA,0,NA,NA,223,NA,NA,0.397540784869747,"G1",3.5
81310,0.00432738152740723,0.00255580469535587,NA,0.00640382578690369,0.00453618335506423,NA,22,378,NA,251,536,NA,0.52263275755812,"G12",3.5
81320,0.00501614678157615,0.0060511498160549,0.00166471614612513,0.0068809691378275,0.00573447914636172,0.00447202203887645,86,384,726,251,534,932,0.66088560389344,"G123",3.5
81321,NA,0.00264556279385774,NA,NA,0.00299805943047939,NA,NA,426,NA,NA,639,NA,0.272572165801385,"G2",3.5
81324,NA,0.00332562913647487,0.00191640193009003,NA,0.00442107982269079,0.00368615511152256,NA,399,718,NA,598,848,0.468028787229082,"G23",3.5
81325,0.00464600935053501,0.00406813043477805,0.00359996241496834,0.00570513463089916,0.00566935992086114,0.00391483164917405,73,361,778,209,583,971,0.817969511974573,"G123",3.5
81326,0.00446441474447765,0.00326253117356546,0.00228540135354741,0.00726632642299258,0.00585765289486472,0.00475675071192554,79,365,836,211,525,1030,0.789865550455093,"G123",4
81327,0.00448209614082665,0.00297641625572088,0.00247029712561621,0.00659962342724064,0.00452216918494318,0.00496477311928793,42,366,774,236,462,980,0.651089878197388,"G123",3.5
81332,NA,0.00157216688380224,NA,NA,0.00445623286383797,NA,NA,438,NA,NA,566,NA,0.345472894005233,"G2",3.5
81338,0.00253764200869553,0.00245561832107115,NA,0.00300263714954602,0.00305277807902758,NA,0,477,NA,280,648,NA,0.523031802853497,"G12",3.5
81340,0.00213011935259344,0.0019501392630108,NA,0.0034443525131475,0.00356968305205262,NA,0,435,NA,200,576,NA,0.453925818453264,"G12",3.5
81342,0.00291891777056999,0.00250005806748585,NA,0.003474837625543,0.00319401709258857,NA,85,446,NA,298,594,NA,0.323634585226944,"G12",3.5
81348,0.00426837059981874,0.00419767088340774,0.00249035356799872,0.00405205214720563,0.00796587642682556,0.0053697162442601,12,401,720,268,579,895,0.635864767854298,"G123",3.5
81352,0.00230675869582623,0.00230741963456667,NA,0.00309783965026463,0.00301806203397956,NA,0,423,NA,242,670,NA,0.391013098421268,"G12",3.5
81357,0.00254166167414379,0.00250939431135163,NA,0.00302376092380624,0.00301790485038796,NA,27,387,NA,231,540,NA,0.327105892351169,"G12",3.5
81360,0.00316371419500671,0.00198905845120275,NA,0.00419922196138013,0.00418733506418055,NA,0,438,NA,282,577,NA,0.392090902123765,"G12",3.5
